threshold,accuracy
9.058699,0.504571
9.073746,0.504571
9.088794,0.504571
9.103842,0.504571
9.118889,0.504571
9.133937,0.504571
9.148985,0.504571
9.164032,0.504571
9.179080,0.504571
9.194128,0.504571
9.209175,0.504571
9.224223,0.504571
9.239271,0.504571
9.254318,0.504571
9.269366,0.504571
9.284414,0.504571
9.299461,0.504571
9.314509,0.504571
9.329557,0.504571
9.344604,0.504571
9.359652,0.504571
9.374700,0.504571
9.389747,0.504571
9.404795,0.504571
9.419843,0.504571
9.434890,0.504571
9.449938,0.504571
9.464986,0.504571
9.480033,0.504571
9.495081,0.504571
9.510129,0.504571
9.525176,0.504571
9.540224,0.504571
9.555272,0.504571
9.570319,0.504571
9.585367,0.504571
9.600415,0.504219
9.615462,0.504219
9.630510,0.504219
9.645558,0.504219
9.660605,0.504219
9.675653,0.504219
9.690701,0.504219
9.705748,0.504219
9.720796,0.504219
9.735844,0.504219
9.750891,0.504219
9.765939,0.504219
9.780987,0.504219
9.796034,0.504219
9.811082,0.503868
9.826130,0.503868
9.841177,0.503868
9.856225,0.503868
9.871273,0.503868
9.886320,0.503868
9.901368,0.503868
9.916416,0.503868
9.931463,0.503868
9.946511,0.503868
9.961559,0.503868
9.976607,0.503868
9.991654,0.503868
10.006702,0.503516
10.021750,0.503516
10.036797,0.503516
10.051845,0.503165
10.066893,0.503165
10.081940,0.503165
10.096988,0.503165
10.112036,0.503165
10.127083,0.502813
10.142131,0.502813
10.157179,0.502813
10.172226,0.502813
10.187274,0.502813
10.202322,0.502813
10.217369,0.502813
10.232417,0.502813
10.247465,0.502813
10.262512,0.502813
10.277560,0.502813
10.292608,0.502813
10.307655,0.502813
10.322703,0.502813
10.337751,0.502813
10.352798,0.502813
10.367846,0.502813
10.382894,0.502813
10.397941,0.502813
10.412989,0.502461
10.428037,0.502461
10.443084,0.502461
10.458132,0.502461
10.473180,0.502461
10.488227,0.502461
10.503275,0.502461
10.518323,0.502461
10.533370,0.502461
10.548418,0.502461
10.563466,0.502461
10.578513,0.502461
10.593561,0.502110
10.608609,0.502110
10.623656,0.502110
10.638704,0.502110
10.653752,0.502110
10.668799,0.502110
10.683847,0.502110
10.698895,0.502110
10.713942,0.502110
10.728990,0.502110
10.744038,0.502110
10.759085,0.502110
10.774133,0.502110
10.789181,0.502110
10.804228,0.502110
10.819276,0.502110
10.834324,0.502110
10.849371,0.502110
10.864419,0.502110
10.879467,0.502110
10.894514,0.502110
10.909562,0.502110
10.924610,0.502110
10.939658,0.502110
10.954705,0.502110
10.969753,0.502110
10.984801,0.502110
10.999848,0.502110
11.014896,0.502110
11.029944,0.502110
11.044991,0.501758
11.060039,0.501758
11.075087,0.501758
11.090134,0.501758
11.105182,0.501758
11.120230,0.501758
11.135277,0.501758
11.150325,0.501758
11.165373,0.501758
11.180420,0.501406
11.195468,0.501406
11.210516,0.501406
11.225563,0.501406
11.240611,0.501406
11.255659,0.501406
11.270706,0.501406
11.285754,0.501406
11.300802,0.501406
11.315849,0.501406
11.330897,0.501406
11.345945,0.501406
11.360992,0.501406
11.376040,0.501406
11.391088,0.501406
11.406135,0.501406
11.421183,0.501406
11.436231,0.501406
11.451278,0.501406
11.466326,0.501406
11.481374,0.501406
11.496421,0.501406
11.511469,0.501406
11.526517,0.501406
11.541564,0.501406
11.556612,0.501406
11.571660,0.501406
11.586707,0.501406
11.601755,0.501406
11.616803,0.501406
11.631850,0.501406
11.646898,0.501406
11.661946,0.501406
11.676993,0.501406
11.692041,0.501055
11.707089,0.501055
11.722136,0.501055
11.737184,0.501055
11.752232,0.501055
11.767279,0.501055
11.782327,0.501055
11.797375,0.501055
11.812422,0.501055
11.827470,0.501055
11.842518,0.501055
11.857565,0.501055
11.872613,0.501055
11.887661,0.501055
11.902709,0.501055
11.917756,0.501055
11.932804,0.501055
11.947852,0.501055
11.962899,0.501055
11.977947,0.501055
11.992995,0.501055
12.008042,0.501055
12.023090,0.501055
12.038138,0.501055
12.053185,0.501055
12.068233,0.501055
12.083281,0.501055
12.098328,0.501055
12.113376,0.501055
12.128424,0.501055
12.143471,0.501055
12.158519,0.501055
12.173567,0.501055
12.188614,0.501055
12.203662,0.501055
12.218710,0.501055
12.233757,0.501055
12.248805,0.501055
12.263853,0.501055
12.278900,0.501055
12.293948,0.501055
12.308996,0.501055
12.324043,0.501055
12.339091,0.501055
12.354139,0.501055
12.369186,0.501055
12.384234,0.501055
12.399282,0.501055
12.414329,0.501055
12.429377,0.501055
12.444425,0.501055
12.459472,0.501055
