threshold,accuracy
0.439438,0.518987
0.440438,0.518987
0.441439,0.519339
0.442440,0.519339
0.443440,0.519339
0.444441,0.519339
0.445442,0.519339
0.446442,0.519339
0.447443,0.519339
0.448444,0.519339
0.449445,0.519339
0.450445,0.519339
0.451446,0.519339
0.452447,0.519339
0.453447,0.519339
0.454448,0.519339
0.455449,0.519339
0.456449,0.519339
0.457450,0.519339
0.458451,0.519339
0.459452,0.519339
0.460452,0.519339
0.461453,0.519339
0.462454,0.519339
0.463454,0.519339
0.464455,0.519339
0.465456,0.519339
0.466457,0.519339
0.467457,0.519339
0.468458,0.519339
0.469459,0.519339
0.470459,0.519691
0.471460,0.519691
0.472461,0.519691
0.473461,0.519691
0.474462,0.519691
0.475463,0.519691
0.476464,0.520042
0.477464,0.520042
0.478465,0.520042
0.479466,0.520042
0.480466,0.520042
0.481467,0.520042
0.482468,0.520042
0.483468,0.520042
0.484469,0.520042
0.485470,0.520042
0.486471,0.520042
0.487471,0.520042
0.488472,0.520042
0.489473,0.520042
0.490473,0.520042
0.491474,0.520394
0.492475,0.520394
0.493475,0.520394
0.494476,0.520394
0.495477,0.520394
0.496478,0.520394
0.497478,0.520394
0.498479,0.520394
0.499480,0.520394
0.500480,0.520042
0.501481,0.520042
0.502482,0.520042
0.503482,0.520042
0.504483,0.520042
0.505484,0.520042
0.506485,0.520042
0.507485,0.520042
0.508486,0.520042
0.509487,0.520042
0.510487,0.520042
0.511488,0.520042
0.512489,0.520042
0.513489,0.520042
0.514490,0.520042
0.515491,0.520042
0.516492,0.520042
0.517492,0.520042
0.518493,0.519691
0.519494,0.519691
0.520494,0.519691
0.521495,0.519691
0.522496,0.519691
0.523497,0.519691
0.524497,0.519691
0.525498,0.519691
0.526499,0.519691
0.527499,0.519691
0.528500,0.519691
0.529501,0.519691
0.530501,0.519691
0.531502,0.519691
0.532503,0.519691
0.533504,0.520042
0.534504,0.520042
0.535505,0.520042
0.536506,0.520042
0.537506,0.520042
0.538507,0.520042
0.539508,0.520042
0.540508,0.520042
0.541509,0.520042
0.542510,0.520042
0.543511,0.520042
0.544511,0.520042
0.545512,0.520042
0.546513,0.520042
0.547513,0.520042
0.548514,0.520394
0.549515,0.520394
0.550515,0.520394
0.551516,0.520394
0.552517,0.520394
0.553518,0.520394
0.554518,0.520394
0.555519,0.520394
0.556520,0.520394
0.557520,0.520394
0.558521,0.520394
0.559522,0.520394
0.560522,0.520394
0.561523,0.520394
0.562524,0.520394
0.563525,0.520394
0.564525,0.520394
0.565526,0.520394
0.566527,0.520745
0.567527,0.520745
0.568528,0.520745
0.569529,0.520745
0.570530,0.520745
0.571530,0.520745
0.572531,0.520745
0.573532,0.520745
0.574532,0.520745
0.575533,0.520745
0.576534,0.520745
0.577534,0.520745
0.578535,0.520745
0.579536,0.520745
0.580537,0.520745
0.581537,0.520745
0.582538,0.520745
0.583539,0.520745
0.584539,0.520745
0.585540,0.520745
0.586541,0.520745
0.587541,0.520745
0.588542,0.520745
0.589543,0.520745
0.590544,0.520745
0.591544,0.520745
0.592545,0.520745
0.593546,0.520745
0.594546,0.520745
0.595547,0.520745
0.596548,0.520745
0.597548,0.520745
0.598549,0.520745
0.599550,0.520745
0.600551,0.520745
0.601551,0.521097
0.602552,0.521097
0.603553,0.521097
0.604553,0.521097
0.605554,0.521449
0.606555,0.521449
0.607555,0.521449
0.608556,0.521449
0.609557,0.521449
0.610558,0.521800
0.611558,0.521800
0.612559,0.521800
0.613560,0.521800
0.614560,0.521800
0.615561,0.521800
0.616562,0.521800
0.617562,0.521800
0.618563,0.521800
0.619564,0.521800
0.620565,0.521800
0.621565,0.522152
0.622566,0.522152
0.623567,0.522152
0.624567,0.522152
0.625568,0.522152
0.626569,0.522152
0.627570,0.522152
0.628570,0.522504
0.629571,0.522504
0.630572,0.522504
0.631572,0.522855
0.632573,0.522855
0.633574,0.522855
0.634574,0.522855
0.635575,0.523207
0.636576,0.523207
0.637577,0.523207
0.638577,0.523207
0.639578,0.523207
0.640579,0.523207
0.641579,0.523207
0.642580,0.523207
0.643581,0.523207
0.644581,0.523207
0.645582,0.523207
0.646583,0.523207
0.647584,0.523207
0.648584,0.523207
0.649585,0.523207
0.650586,0.523558
0.651586,0.523558
0.652587,0.523558
0.653588,0.523558
0.654588,0.523558
0.655589,0.523558
0.656590,0.523558
0.657591,0.523558
0.658591,0.523558
0.659592,0.523558
0.660593,0.523558
0.661593,0.523558
0.662594,0.523558
0.663595,0.523558
0.664595,0.523558
0.665596,0.523558
0.666597,0.523558
0.667598,0.523558
0.668598,0.523558
0.669599,0.523910
0.670600,0.524262
0.671600,0.524262
0.672601,0.524262
0.673602,0.524262
0.674602,0.524613
0.675603,0.524965
0.676604,0.524965
0.677605,0.524965
0.678605,0.524965
0.679606,0.525316
0.680607,0.525316
0.681607,0.525316
0.682608,0.525316
0.683609,0.525316
0.684610,0.525316
0.685610,0.525668
0.686611,0.525668
0.687612,0.525668
0.688612,0.525668
0.689613,0.525668
0.690614,0.525668
0.691614,0.525668
0.692615,0.525668
0.693616,0.525668
0.694617,0.525668
0.695617,0.525668
0.696618,0.525668
0.697619,0.525668
0.698619,0.525668
0.699620,0.525668
0.700621,0.525668
0.701621,0.526020
0.702622,0.526020
0.703623,0.526020
0.704624,0.526371
0.705624,0.526371
0.706625,0.526371
0.707626,0.526371
0.708626,0.526371
0.709627,0.526371
0.710628,0.526371
0.711628,0.526371
0.712629,0.526371
0.713630,0.526371
0.714631,0.526723
0.715631,0.526723
0.716632,0.526723
0.717633,0.526723
0.718633,0.526723
0.719634,0.526723
0.720635,0.526723
0.721635,0.526723
0.722636,0.526723
0.723637,0.526723
0.724638,0.526723
0.725638,0.526723
0.726639,0.526723
0.727640,0.526723
0.728640,0.526723
0.729641,0.526723
0.730642,0.526723
0.731643,0.526723
0.732643,0.526723
0.733644,0.527075
0.734645,0.527075
0.735645,0.527075
0.736646,0.527075
0.737647,0.527075
0.738647,0.527075
0.739648,0.527075
0.740649,0.527075
0.741650,0.527075
0.742650,0.527075
0.743651,0.527075
0.744652,0.527075
0.745652,0.527075
0.746653,0.527075
0.747654,0.527075
0.748654,0.527075
0.749655,0.527075
0.750656,0.527075
0.751657,0.527075
0.752657,0.527075
0.753658,0.527075
0.754659,0.527426
0.755659,0.527426
0.756660,0.527426
0.757661,0.527426
0.758661,0.527426
0.759662,0.527426
0.760663,0.527426
0.761664,0.527426
0.762664,0.527426
0.763665,0.527426
0.764666,0.527426
0.765666,0.527426
0.766667,0.527426
0.767668,0.527426
0.768668,0.527426
0.769669,0.527426
0.770670,0.527426
0.771671,0.527426
0.772671,0.527426
0.773672,0.527426
0.774673,0.527426
0.775673,0.527426
0.776674,0.527426
0.777675,0.527426
0.778675,0.527426
0.779676,0.527426
0.780677,0.527426
0.781678,0.527426
0.782678,0.527426
0.783679,0.527426
0.784680,0.527426
0.785680,0.527426
0.786681,0.527426
0.787682,0.527426
0.788683,0.527426
0.789683,0.527426
0.790684,0.527426
0.791685,0.527426
0.792685,0.527426
0.793686,0.527426
0.794687,0.527426
0.795687,0.527426
0.796688,0.527778
0.797689,0.527778
0.798690,0.527778
0.799690,0.527778
0.800691,0.527778
0.801692,0.527778
0.802692,0.527778
0.803693,0.527778
0.804694,0.527426
0.805694,0.527426
0.806695,0.527426
0.807696,0.527426
0.808697,0.527426
0.809697,0.527778
0.810698,0.527778
0.811699,0.528129
0.812699,0.528481
0.813700,0.528481
0.814701,0.528481
0.815701,0.528481
0.816702,0.528481
0.817703,0.528481
0.818704,0.528481
0.819704,0.528481
0.820705,0.528481
0.821706,0.528481
0.822706,0.528481
0.823707,0.528481
0.824708,0.528481
0.825708,0.528481
0.826709,0.528481
0.827710,0.528833
0.828711,0.528833
0.829711,0.528833
0.830712,0.528833
0.831713,0.528833
0.832713,0.528833
0.833714,0.528833
0.834715,0.528833
0.835715,0.528833
0.836716,0.528833
0.837717,0.528833
0.838718,0.528833
0.839718,0.528833
0.840719,0.529184
0.841720,0.529184
0.842720,0.529184
0.843721,0.529184
0.844722,0.529184
0.845723,0.529184
0.846723,0.529184
0.847724,0.529184
0.848725,0.529536
0.849725,0.529536
0.850726,0.529536
0.851727,0.529536
0.852727,0.529536
0.853728,0.529536
0.854729,0.529536
0.855730,0.529536
0.856730,0.529536
0.857731,0.529887
0.858732,0.529887
0.859732,0.530239
0.860733,0.530239
0.861734,0.530239
0.862734,0.530239
0.863735,0.530239
0.864736,0.530239
0.865737,0.530239
0.866737,0.530239
0.867738,0.530239
0.868739,0.530239
0.869739,0.530239
0.870740,0.530239
0.871741,0.530239
0.872741,0.530239
0.873742,0.530239
0.874743,0.530239
0.875744,0.530591
0.876744,0.531294
0.877745,0.531294
0.878746,0.531294
0.879746,0.531646
0.880747,0.531997
0.881748,0.531997
